periode_data;tanggal;pm10;so2;co;o3;no2;max;critical;categori;lokasi_spku
202008;13/08/20;81;24;19;58;13;81;PM10;SEDANG;DKI4
202008;14/08/20;41;21;21;68;17;68;O3;SEDANG;DKI5
202008;15/08/20;58;23;24;59;14;59;O3;SEDANG;DKI5
202008;16/08/20;52;24;20;68;10;68;O3;SEDANG;DKI3
202008;17/08/20;56;22;17;67;10;67;O3;SEDANG;DKI5
202011;01/11/20;56;54;27;27;27;86;PM25;SEDANG;DKI4
202011;02/11/20;49;54;11;29;10;54;SO2;SEDANG;DKI3
202011;03/11/20;54;55;12;30;22;78;PM25;SEDANG;DKI4
202011;04/11/20;54;56;15;36;22;91;PM25;SEDANG;DKI4
202011;05/11/20;58;55;17;27;35;96;PM25;SEDANG;DKI5
202011;06/11/20;80;57;27;36;39;139;PM25;TIDAK SEHAT;DKI4
202011;07/11/20;65;56;20;29;32;108;PM25;TIDAK SEHAT;DKI4
202011;08/11/20;67;55;21;29;29;113;PM25;TIDAK SEHAT;DKI4
202011;09/11/20;72;57;22;33;36;120;PM25;TIDAK SEHAT;DKI4
202011;10/11/20;82;56;18;37;32;137;PM25;TIDAK SEHAT;DKI4
202011;11/11/20;79;57;17;38;42;137;PM25;TIDAK SEHAT;DKI4
202011;12/11/20;61;57;12;36;30;96;PM25;SEDANG;DKI5
202011;13/11/20;57;57;12;31;26;83;PM25;SEDANG;DKI4
202011;14/11/20;67;58;14;34;28;116;PM25;TIDAK SEHAT;DKI4
202011;15/11/20;59;57;10;35;23;87;PM25;SEDANG;DKI4
202011;16/11/20;64;60;12;33;20;101;PM25;TIDAK SEHAT;DKI4
202011;17/11/20;60;57;18;39;26;108;PM25;TIDAK SEHAT;DKI4
202011;18/11/20;59;67;12;41;39;95;PM25;SEDANG;DKI4
202011;19/11/20;77;57;20;38;41;110;PM25;TIDAK SEHAT;DKI4
202011;20/11/20;62;59;13;32;22;99;PM25;SEDANG;DKI4
202011;21/11/20;67;57;24;32;30;104;PM25;TIDAK SEHAT;DKI4
202011;22/11/20;70;56;30;33;32;112;PM25;TIDAK SEHAT;DKI4
202011;23/11/20;69;58;23;30;34;114;PM25;TIDAK SEHAT;DKI4
202011;24/11/20;68;57;12;35;20;95;PM25;SEDANG;DKI3
202011;25/11/20;55;56;15;33;27;81;PM25;SEDANG;DKI4
202011;26/11/20;60;58;18;34;33;91;PM25;SEDANG;DKI4
202011;27/11/20;51;57;8;26;23;71;PM25;SEDANG;DKI3
202011;28/11/20;54;57;14;40;31;82;PM25;SEDANG;DKI4
202011;29/11/20;48;56;9;26;17;67;PM25;SEDANG;DKI4
202011;30/11/20;28;56;6;25;9;56;SO2;SEDANG;DKI3
202012;01/12/20;47;56;10;26;10;75;PM25;SEDANG;DKI3
202012;02/12/20;51;57;9;24;16;72;PM25;SEDANG;DKI3
202012;03/12/20;42;56;9;29;24;56;PM25;SEDANG;DKI3
202012;04/12/20;46;62;10;26;25;65;PM25;SEDANG;DKI5
202012;05/12/20;31;58;7;22;15;58;SO2;SEDANG;DKI3
202012;06/12/20;35;58;9;23;19;58;SO2;SEDANG;DKI3
202012;07/12/20;25;57;7;24;14;57;SO2;SEDANG;DKI3
202012;08/12/20;37;57;11;22;17;63;PM25;SEDANG;DKI5
202012;09/12/20;34;57;6;24;13;57;SO2;SEDANG;DKI3
202012;10/12/20;33;59;6;21;14;59;PM25;SEDANG;DKI3
202012;11/12/20;36;62;11;23;20;62;PM25;SEDANG;DKI3
202012;12/12/20;38;63;7;27;14;63;SO2;SEDANG;DKI3
202012;13/12/20;29;57;6;25;16;58;PM25;SEDANG;DKI5
202012;14/12/20;27;56;7;26;14;56;SO2;SEDANG;DKI4
202012;15/12/20;45;55;17;25;16;75;PM25;SEDANG;DKI3
202012;16/12/20;32;55;12;23;11;56;PM25;SEDANG;DKI3
202012;17/12/20;29;56;15;26;17;56;SO2;SEDANG;DKI4
202012;18/12/20;32;56;12;25;15;56;SO2;SEDANG;DKI4
202012;19/12/20;39;56;14;21;15;56;SO2;SEDANG;DKI4
202012;20/12/20;38;56;14;22;15;56;SO2;SEDANG;DKI4
202012;21/12/20;25;56;13;20;8;56;SO2;SEDANG;DKI4
202012;22/12/20;40;55;9;18;15;61;PM25;SEDANG;DKI3
202012;23/12/20;68;51;18;25;18;113;PM25;TIDAK SEHAT;DKI3
202012;24/12/20;52;52;11;22;18;80;PM25;SEDANG;DKI4
202012;25/12/20;39;51;9;16;9;53;PM25;SEDANG;DKI3
202012;26/12/20;37;51;7;18;9;54;PM25;SEDANG;DKI4
202012;27/12/20;44;52;9;19;10;59;PM25;SEDANG;DKI3
202012;28/12/20;45;51;8;24;17;57;PM25;SEDANG;DKI3
202012;29/12/20;26;51;5;23;10;51;SO2;SEDANG;DKI4
202012;30/12/20;39;51;6;22;10;51;SO2;SEDANG;DKI4
202012;31/12/20;41;52;10;33;14;52;SO2;SEDANG;DKI2
202009;25/09/20;74;53;15;42;27;104;PM25;TIDAK SEHAT;DKI4
202009;26/09/20;73;52;18;42;31;112;PM25;TIDAK SEHAT;DKI4
202009;27/09/20;70;52;17;45;24;107;PM25;TIDAK SEHAT;DKI4
202009;28/09/20;74;53;13;37;20;77;PM25;SEDANG;DKI2
202009;29/09/20;68;53;11;32;22;89;PM25;SEDANG;DKI5
202009;30/09/20;57;51;11;35;24;89;PM25;SEDANG;DKI5
202010;01/10/20;73;53;14;37;17;115;PM25;TIDAK SEHAT;DKI4
202010;02/10/20;83;54;14;37;22;111;PM25;TIDAK SEHAT;DKI4
202010;03/10/20;74;52;17;35;29;84;PM25;SEDANG;DKI4
202010;04/10/20;79;52;16;43;24;97;PM25;SEDANG;DKI4
202010;05/10/20;62;52;11;47;15;63;PM25;SEDANG;DKI2
202010;06/10/20;64;53;8;45;21;69;PM25;SEDANG;DKI4
202010;07/10/20;77;55;11;43;26;86;PM25;SEDANG;DKI4
202010;08/10/20;68;54;11;44;25;80;PM25;SEDANG;DKI4
202010;09/10/20;74;52;15;49;25;99;PM25;SEDANG;DKI1
202010;10/10/20;70;53;17;35;25;89;PM25;SEDANG;DKI5
202010;11/10/20;69;52;16;45;22;75;PM25;SEDANG;DKI5
202010;12/10/20;58;51;15;39;26;99;PM25;SEDANG;DKI5
202010;13/10/20;72;53;20;39;29;117;PM25;TIDAK SEHAT;DKI4
202010;14/10/20;81;54;19;44;30;125;PM25;TIDAK SEHAT;DKI4
202010;15/10/20;79;54;15;48;28;106;PM25;TIDAK SEHAT;DKI3
202010;16/10/20;68;52;13;43;28;90;PM25;SEDANG;DKI2
202010;17/10/20;70;52;16;36;36;86;PM25;SEDANG;DKI4
202010;18/10/20;60;52;12;37;26;95;PM25;SEDANG;DKI4
202010;19/10/20;64;53;13;37;26;97;PM25;SEDANG;DKI4
202010;20/10/20;63;53;19;31;36;100;PM25;SEDANG;DKI4
202010;21/10/20;57;53;17;33;30;92;PM25;SEDANG;DKI4
202010;22/10/20;53;53;18;29;26;82;PM25;SEDANG;DKI2
202010;23/10/20;39;53;9;22;12;65;PM25;SEDANG;DKI3
202010;24/10/20;56;54;11;34;25;91;PM25;SEDANG;DKI4
202010;25/10/20;52;54;13;42;20;79;PM25;SEDANG;DKI4
202010;26/10/20;57;55;14;41;28;82;PM25;SEDANG;DKI4
202010;27/10/20;52;54;17;34;30;70;PM25;SEDANG;DKI4
202010;28/10/20;66;54;29;32;33;89;PM25;SEDANG;DKI5
202010;29/10/20;57;55;15;35;26;87;PM25;SEDANG;DKI4
202010;30/10/20;63;55;18;34;19;108;PM25;TIDAK SEHAT;DKI4
202010;31/10/20;45;55;15;29;20;72;;SEDANG;0
