periode_data;tanggal;pm_10;pm_duakomalima;so2;co;o3;no2;max;critical;categori;lokasi_spku
202201;12/01/22;46;59;51;15;38;29;59;PM2,5;SEDANG;DKI4
202202;09/02/20;64;101;39;36;55;45;101;PM2,5;TIDAK SEHAT;DKI4
202204;28/04/22;42;83;41;12;59;20;83;PM2,5;SEDANG;DKI4
202204;27/04/22;47;91;44;13;45;26;91;PM2,5;SEDANG;DKI4
202204;26/04/22;59;82;41;13;70;29;82;PM2,5;SEDANG;DKI4
202204;25/04/22;60;118;44;14;99;28;118;PM2,5;TIDAK SEHAT;DKI4
202204;24/04/22;63;114;41;24;82;30;114;PM2,5;TIDAK SEHAT;DKI4
202204;23/04/22;60;108;42;30;52;43;108;PM2,5;TIDAK SEHAT;DKI4
202204;22/04/22;83;128;49;25;52;42;128;PM2,5;TIDAK SEHAT;DKI4
202204;21/04/22;46;56;41;15;43;24;56;PM2,5;SEDANG;DKI5
202204;20/04/22;61;105;42;18;69;34;105;PM2,5;TIDAK SEHAT;DKI4
202204;19/04/22;52;78;41;13;84;29;84;O3;SEDANG;DKI2
202204;18/04/22;73;135;40;13;88;14;135;PM2,5;TIDAK SEHAT;DKI4
202202;08/02/20;58;109;39;18;60;31;109;PM2,5;TIDAK SEHAT;DKI4
202202;07/02/20;40;60;48;13;67;22;67;O3;SEDANG;DKI2
202202;06/02/20;39;51;58;15;57;21;58;SO2;SEDANG;DKI1
202202;05/02/20;43;62;53;18;55;30;62;PM2,5;SEDANG;DKI5
202202;04/02/20;54;72;46;12;68;27;72;PM2,5;SEDANG;DKI3
202202;03/02/20;58;99;48;20;65;33;99;PM2,5;SEDANG;DKI4
202202;02/02/20;66;101;47;22;64;26;101;PM2,5;TIDAK SEHAT;DKI4
202203;01/03/22;27;50;44;11;17;12;50;PM2,5;BAIK;DKI5
202203;31/03/22;95;160;49;34;137;34;160;PM2,5;TIDAK SEHAT;DKI4
202203;30/03/22;75;119;42;20;109;35;119;PM2,5;TIDAK SEHAT;DKI4
202203;29/03/22;61;117;44;17;52;31;117;PM2,5;TIDAK SEHAT;DKI4
202203;28/03/22;49;62;40;12;59;28;62;PM2,5;SEDANG;DKI5
202203;27/03/22;84;126;46;49;42;51;126;PM2,5;TIDAK SEHAT;DKI5
202203;26/03/22;67;92;43;17;49;29;92;PM2,5;SEDANG;DKI4
202203;25/03/22;90;122;51;19;70;29;122;PM2,5;TIDAK SEHAT;DKI5
202203;24/03/22;43;65;43;15;40;22;65;PM2,5;SEDANG;DKI4
202203;23/03/22;46;61;41;16;34;19;61;PM2,5;SEDANG;DKI5
202203;22/03/22;50;63;38;12;35;17;63;PM2,5;SEDANG;DKI3
202203;21/03/22;38;53;38;10;34;8;53;PM2,5;SEDANG;DKI4
202203;20/03/22;55;71;39;13;34;14;71;PM2,5;SEDANG;DKI4
202203;19/03/22;46;73;40;15;48;20;73;PM2,5;SEDANG;DKI4
202203;18/03/22;67;111;40;23;69;32;111;PM2,5;TIDAK SEHAT;DKI4
202203;17/03/22;77;141;40;23;77;28;141;PM2,5;TIDAK SEHAT;DKI4
202203;16/03/22;51;76;41;21;53;25;76;PM2,5;SEDANG;DKI4
202203;15/03/22;56;97;41;22;54;28;97;PM2,5;SEDANG;DKI4
202203;14/03/22;60;109;39;25;80;31;109;PM2,5;TIDAK SEHAT;DKI4
202203;13/03/22;46;65;43;18;36;20;65;PM2,5;SEDANG;DKI5
202203;12/03/22;50;59;39;13;41;21;59;PM2,5;SEDANG;DKI4
202203;11/03/22;77;107;46;23;52;52;107;PM2,5;TIDAK SEHAT;DKI4
202203;10/03/22;60;112;42;24;79;40;112;PM2,5;TIDAK SEHAT;DKI4
202203;09/03/22;50;75;40;20;58;28;75;PM2,5;SEDANG;DKI4
202203;08/03/22;55;102;40;15;45;25;102;PM2,5;TIDAK SEHAT;DKI4
202203;07/03/22;29;53;37;13;37;13;53;PM2,5;SEDANG;DKI4
202203;06/03/22;53;90;38;21;28;18;90;PM2,5;SEDANG;DKI4
202203;05/03/22;48;68;40;17;36;22;68;PM2,5;SEDANG;DKI4
202203;04/03/22;32;53;41;13;45;20;53;PM2,5;SEDANG;DKI4
202203;03/03/22;30;55;43;12;35;18;55;PM2,5;SEDANG;DKI4
202203;02/03/22;32;51;46;15;24;15;51;PM2,5;SEDANG;DKI2
202204;01/04/22;74;114;47;19;76;38;114;PM2,5;TIDAK SEHAT;DKI4
202204;30/04/22;39;53;38;16;17;6;53;PM2,5;SEDANG;DKI2
202204;29/04/22;35;60;40;10;46;16;60;PM2,5;SEDANG;DKI4
202205;17/05/22;66;128;42;22;77;31;128;PM2,5;TIDAK SEHAT;DKI4
202205;16/05/22;58;100;42;22;81;31;100;PM2,5;SEDANG;DKI4
202205;15/05/22;77;126;42;19;87;23;126;PM2,5;TIDAK SEHAT;DKI4
202205;14/05/22;57;101;44;14;72;30;101;PM2,5;TIDAK SEHAT;DKI4
202205;13/05/22;34;55;44;8;65;20;65;O3;SEDANG;DKI2
202205;12/05/22;61;85;54;13;63;25;85;PM2,5;SEDANG;DKI3
202205;11/05/22;54;75;41;12;81;26;81;O3;SEDANG;DKI2
202205;10/05/22;54;86;50;17;74;28;86;PM2,5;SEDANG;DKI4
202205;09/05/22;58;95;44;12;73;24;95;PM2,5;SEDANG;DKI4
202205;08/05/22;63;98;42;19;76;21;98;PM2,5;SEDANG;DKI4
202205;07/05/22;56;92;41;12;82;13;92;PM2,5;SEDANG;DKI4
202205;06/05/22;39;73;42;10;58;12;73;PM2,5;SEDANG;DKI4
202205;05/05/22;53;102;41;13;72;20;102;PM2,5;TIDAK SEHAT;DKI4
202205;04/05/22;51;85;41;11;77;18;85;PM2,5;SEDANG;DKI4
202205;03/05/22;36;58;40;13;58;23;58;PM2,5;SEDANG;DKI2
